system:index,Aspect,DEM,EVI,Fire_Label,LSWI,NBR,NDMI,NDVI,NDWI,Precipitation,SAVI,Slope,TCI,Temperature,VCI,WindSpeed,random,.geo
108,28,304,2.0869870220975093,0,0.22583322,0.40109065,-0.22583322,0.50517917,-0.47205845,0.48874474,0.7577043891671619,4,58.404074702886476,28.520526315789482,78.86613176765788,1.8788448254185115,0.25696812900389465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.67431574277614,13.984523185530652]}"
109,271,969,2.294428559050342,0,0.1513309,0.3347431,-0.1513309,0.4508769,-0.43814346,0.5490775,0.6762577679407509,18,66.45074224021592,23.93526315789478,73.58747081222215,2.4204610442684555,0.3568816562898868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.02465870358276,14.123762054569177]}"
111,146,242,1.9229835773804707,0,0.08446155,0.27371055,-0.08446155,0.43116271,-0.41271263,0.55956596,0.646685408542668,1,48.85799404170756,28.18894736842111,71.67107678113163,2.034789014200051,0.2896817401538435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.57100948510241,13.697062294612405]}"
114,139,516,1.1048180033227608,0,-0.0028985508,0.113629006,0.0028985508,0.27007568,-0.29835817,0.64612436,0.4050761421319797,3,52.22547108512019,28.48157894736846,56.011988912033175,3.110245965436544,0.26299459175551276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.09203234989172,13.701553871033003]}"
116,56,668,3.15874169435216,0,0.27813482,0.45938566,-0.27813482,0.552228,-0.49811685,1.596328,0.8282667876588021,4,40.43936985113443,24.142727272727313,83.43969485596423,2.372190841338458,0.12056195066076258,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.73881935445779,13.61172234262105]}"
120,167,500,0.7640098147854995,0,0.019980742,0.19756925,-0.019980742,0.2950256,-0.36479303,0.40789324,0.44250458435207823,4,42.69646719538544,28.81315789473689,58.43734162182648,2.166534774496396,0.16170531597983961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.7506725419263,14.04291367899842]}"
121,33,210,0.5157938487115544,0,-0.1517129,-0.09321907,0.1517129,0.15790813,-0.2387694,0.6520086,0.23684712767987787,1,46.13366473349921,33.12882352941176,45.108306895454646,2.974472759821159,0.16190281440105647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.24025437177144,13.512907661367903]}"
122,119,312,1.3725861416130254,0,0.0055350554,0.11604095,-0.0055350554,0.2848723,-0.29890764,0.7203376,0.42726647677045476,11,57.324113856068635,31.46157894736848,57.45035081925952,2.9721850286444487,0.66204585182406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.1638975726213,13.750961211659575]}"
123,46,176,1.5814663951120165,0,0.06526341,0.19072409,-0.06526341,0.359685,-0.34968197,0.62356764,0.5394858730893932,1,54.47813822284881,29.005000000000052,64.72281082189785,2.7450190245929025,0.02431112186864226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.36152693512759,13.472483473582525]}"
125,195,727,1.2473228818641309,0,-0.014827018,0.078660496,0.014827018,0.26858515,-0.2932769,0.6238287,0.4028405422853454,1,47.53048309924361,28.26684210526321,55.86709366385952,2.6308079426922983,0.19325869140940588,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.24923752461264,14.033930526157226]}"
